q,lam,eps,seed,phi_child,has_parent,loss,top_latents
0.2,0.2,0.18,2,86.9177017211914,1,0.6666092872619629,"[[0.9776225090026855, 86.9177017211914], [0.9759981036186218, 2.7930028438568115]]"
0.2,0.3,0.0,0,45.85227966308594,1,0.9549838304519653,"[[0.9704881906509399, 45.85227966308594], [0.963263213634491, -1.193358063697815]]"
0.2,0.3,0.0,1,44.70993423461914,1,0.8937059640884399,"[[0.9804496765136719, 44.70993423461914], [0.9590434432029724, 0.21055319905281067]]"
0.2,0.3,0.0,2,48.014339447021484,1,0.8928899765014648,"[[0.9758119583129883, 48.014339447021484], [0.9664508104324341, -2.261894702911377]]"
0.2,0.3,0.005,0,45.99601364135742,1,0.9157657027244568,"[[0.9698001146316528, 45.99601364135742], [0.9629113078117371, -1.3760566711425781]]"
0.2,0.3,0.005,1,45.053253173828125,1,0.8976082801818848,"[[0.9802321195602417, 45.053253173828125], [0.9591392278671265, 0.106277234852314]]"
0.2,0.3,0.005,2,48.332176208496094,1,0.8961166739463806,"[[0.9756507873535156, 48.332176208496094], [0.9664452075958252, -2.3957395553588867]]"
0.2,0.3,0.01,0,46.240474700927734,1,0.9186299443244934,"[[0.9697584509849548, 46.240474700927734], [0.962892472743988, -1.4801976680755615]]"
0.2,0.3,0.01,1,45.236358642578125,1,0.900985836982727,"[[0.9799290895462036, 45.236358642578125], [0.9589866995811462, -0.033449653536081314]]"
0.2,0.3,0.01,2,48.796905517578125,1,0.9008070826530457,"[[0.9755547642707825, 48.796905517578125], [0.9663779139518738, -2.514484167098999]]"
0.2,0.3,0.02,0,46.83622360229492,1,0.9676041007041931,"[[0.9702293872833252, 46.83622360229492], [0.9632168412208557, -1.6891908645629883]]"
0.2,0.3,0.02,1,45.740787506103516,1,0.9082310199737549,"[[0.9793527722358704, 45.740787506103516], [0.9589059352874756, -0.31268787384033203]]"
0.2,0.3,0.02,2,51.089752197265625,1,0.9065767526626587,"[[0.9756174087524414, 51.089752197265625], [0.9647696614265442, -2.4621739387512207]]"
0.2,0.3,0.03,0,47.25772476196289,1,0.9843904972076416,"[[0.9701889753341675, 47.25772476196289], [0.9641884565353394, -2.013519525527954]]"
0.2,0.3,0.03,1,46.26038360595703,1,0.9173516631126404,"[[0.9787946343421936, 46.26038360595703], [0.9586830139160156, -0.5613508224487305]]"
0.2,0.3,0.03,2,79.22769165039062,1,0.9302873611450195,"[[0.9614297151565552, 79.22769165039062], [0.9355647563934326, 4.902740478515625]]"
0.2,0.3,0.05,0,47.9162712097168,1,0.997679591178894,"[[0.970666229724884, 47.9162712097168], [0.9651944041252136, -3.083172559738159]]"
0.2,0.3,0.05,1,74.33202362060547,1,0.9894108176231384,"[[0.9464043378829956, 74.33202362060547], [0.9431576132774353, 7.093232154846191]]"
0.2,0.3,0.05,2,69.9679946899414,1,0.9297767281532288,"[[0.9773402810096741, 69.9679946899414], [0.9471046924591064, 0.7720590233802795]]"
0.2,0.3,0.08,0,76.59898376464844,1,0.9613790512084961,"[[0.9637743830680847, 76.59898376464844], [0.9484618902206421, 4.918874740600586]]"
0.2,0.3,0.08,1,80.07809448242188,1,1.0019276142120361,"[[0.9457958340644836, 8.10737419128418], [0.9421184062957764, 80.07809448242188]]"
0.2,0.3,0.08,2,78.3460922241211,1,0.9445204734802246,"[[0.9710356593132019, 78.3460922241211], [0.944994330406189, 2.923017740249634]]"
0.2,0.3,0.12,0,82.95578002929688,1,1.0188500881195068,"[[0.9636942148208618, 82.95578002929688], [0.9507439136505127, 6.78890323638916]]"
0.2,0.3,0.12,1,84.51522064208984,1,1.012625813484192,"[[0.9501627087593079, 8.992228507995605], [0.9413713216781616, 84.51522064208984]]"
0.2,0.3,0.12,2,82.83332061767578,1,0.9605237245559692,"[[0.9665643572807312, 82.83332061767578], [0.9482945203781128, 4.212215423583984]]"
0.2,0.3,0.18,0,87.13897705078125,1,1.0370867252349854,"[[0.9621608257293701, 87.13897705078125], [0.9538824558258057, 7.607493877410889]]"
0.2,0.3,0.18,1,87.2211685180664,1,0.9785906076431274,"[[0.9520201683044434, 8.856023788452148], [0.9438828825950623, 87.2211685180664]]"
