gamma,eps,seed,child_latent_angle_deg,top_1_rho,top_1_phi_deg,top_2_rho,top_2_phi_deg,top_3_rho,top_3_phi_deg,top_4_rho,top_4_phi_deg,top_5_rho,top_5_phi_deg
0.0,0.02,4,66.23023223876953,0.9895482063293457,66.23023986816406,0.9765773415565491,-0.6507402658462524,0.07830192893743515,42.62464904785156,0.07829447090625763,-6.570124626159668,0.06971506774425507,167.74594116210938
0.0,0.02,5,57.44395446777344,0.9920302629470825,57.44395446777344,0.9798980355262756,-1.819907546043396,0.0772668644785881,43.356502532958984,0.0757589191198349,-6.133856773376465,0.07505917549133301,165.4865264892578
0.0,0.02,6,65.52010345458984,0.9904385805130005,65.52010345458984,0.9764361381530762,-0.8269565105438232,0.07801756262779236,-7.394559383392334,0.07723718136548996,42.627716064453125,0.07441060245037079,167.01544189453125
0.0,0.02,7,68.7135009765625,0.9885151982307434,68.7135009765625,0.9756215810775757,-0.18800783157348633,0.07884518057107925,44.54676055908203,0.0772920697927475,-8.202686309814453,0.07097597420215607,167.19195556640625
0.0,0.03,0,74.1866226196289,0.9857850074768066,74.1866226196289,0.974719762802124,0.5110785961151123,0.07756655663251877,-8.27708625793457,0.07493017613887787,44.91441345214844,0.07045396417379379,170.46229553222656
0.0,0.03,1,73.63834381103516,0.9860807061195374,73.63834381103516,0.9748970866203308,0.4538789987564087,0.08067569136619568,43.34190368652344,0.07952830940485,-8.702601432800293,0.07094057649374008,170.61917114257812
0.0,0.03,2,73.75679779052734,0.9858201742172241,73.75679779052734,0.9745766520500183,0.3264102637767792,0.08011504262685776,42.92557907104492,0.07710815221071243,-9.07226276397705,0.06817540526390076,166.2908172607422
0.0,0.03,3,73.90577697753906,0.9860696196556091,73.90577697753906,0.9749983549118042,0.3685508072376251,0.08472034335136414,-7.485235214233398,0.07688645273447037,45.76925277709961,0.0711265578866005,167.4300994873047
0.0,0.03,4,73.70872497558594,0.9862043261528015,73.70873260498047,0.974654495716095,0.34132370352745056,0.07894976437091827,-7.950888633728027,0.07774738222360611,42.95069122314453,0.07175768911838531,167.9362030029297
0.0,0.03,5,46.06911849975586,0.9924218654632568,91.81591796875,0.9911280870437622,46.069122314453125,0.9832865595817566,-1.832444190979004,0.07810822129249573,41.129058837890625,0.06754095107316971,-1.8312000036239624
0.0,0.03,6,74.13311004638672,0.9857578873634338,74.13310241699219,0.9746176600456238,0.40307891368865967,0.07911898195743561,43.85426330566406,0.07733163982629776,-8.143845558166504,0.07126221805810928,167.31248474121094
0.0,0.03,7,74.2767333984375,0.9860714673995972,74.2767333984375,0.9746933579444885,0.5082336068153381,0.08184516429901123,43.78547668457031,0.07720973342657089,-8.415934562683105,0.0708930566906929,167.98214721679688
0.05,0.005,0,46.64376449584961,0.990874171257019,46.64376449584961,0.9819661974906921,-1.7830301523208618,0.0767526850104332,40.532501220703125,0.06520546227693558,-4.199305057525635,0.063867948949337,167.7577667236328
0.05,0.005,1,47.203460693359375,0.9909747838973999,47.20346450805664,0.9817888736724854,-2.6785507202148438,0.07751108705997467,39.99256896972656,0.06731440126895905,-4.401961803436279,0.0667373538017273,171.30813598632812
0.05,0.005,2,46.55900955200195,0.9910439848899841,46.55900573730469,0.9819991588592529,-1.9225757122039795,0.0752466544508934,43.71671676635742,0.06739422678947449,168.86575317382812,0.06713704764842987,-3.0734803676605225
0.05,0.005,3,46.60102462768555,0.9911828637123108,46.60102081298828,0.9818565249443054,-1.7613176107406616,0.0753086656332016,41.45016860961914,0.06958799064159393,170.57211303710938,0.0662430077791214,-4.974461555480957
